"state","year","rate_real_2024","rate_nominal","resi_rate_real","sales_mwh","gen_gwh_total","gen_gwh_solar","gen_gwh_wind","gen_gwh_gas","coal_retirements_twh","utility_owned_gen","gas_hub_price","gas_hub_price_real","pou_pct","switching_pct","ami_pct","btm","ee","dr_mw_per_twh_potential","ev_pct","saifi","expected_loss_mwh","expected_loss_fire_mwh","region"
"AL",2010,12.8377879510547,8.89,15.408233682537,90862645,152151,NA,NA,39235,0,0.733092973511092,NA,NA,0.383972467453484,0,0.0653881862559024,3.33794066469294e-06,0.00169219748602483,NA,NA,NA,14.1384234545519,0.0805630743880704,"south"
"AL",2011,12.7034448215609,9.1,15.4814508869352,88995369,156339,NA,NA,47681,0,0.733073249478712,NA,NA,0.380162118323258,0,0.92138224072544,3.23757758411795e-06,0.00245533011002483,NA,NA,NA,14.4350719104342,0.0822534263353842,"south"
"AL",2012,12.5496844679765,9.18,15.584575483108,86182548,152879,NA,NA,55705,0,0.733073249478712,NA,NA,0.371918291740473,0,0.120181037832393,4.04708660150217e-06,0.00321767119177625,NA,NA,NA,14.9062029497042,0.084938008890522,"south"
"AL",2013,12.1417369365873,9.02,15.1569798121921,87852107,150573,NA,NA,46586,1.86753269178405,0.732954927569371,42.657717574643,57.4211513421896,0.372680808859274,0,0.138195758536453,7.76773361515259e-06,0.00366198545356403,9.73425175772289,NA,0.227,14.622922489618,0.083323829993421,"south"
"AL",2014,12.2709128092578,9.27,15.1963407821229,90493727,149340,NA,NA,48270,3.76590330788804,0.732095775802134,47.5580192805047,62.9536470304287,0.369602040898059,0,0.719841631808628,3.56772340954964e-05,0.00402586570538678,13.4045236597589,NA,0.337,14.1960619127846,0.0808915078526033,"south"
"AL",2015,12.3720696337558,9.33,15.5148140101761,88845543,152477,NA,NA,55844,10.8016290981591,0.732365444558897,27.9831203588291,37.1070861360347,0.370186600253383,0,0.84921305954019,4.58292379327544e-05,0.00478511342125258,5.33345651984061,NA,0.455,14.4594147081821,0.0823921356216128,"south"
"AL",2016,12.5384100871538,9.56,15.7254745758341,88225141,142385,31,NA,57804,9.48133581486814,0.730527097899173,26.2716814866618,34.4566021086666,0.375018725256555,0,0.854342258418841,9.28186805218094e-07,0.00516252128787843,8.41713736832429,0.000112698913582473,0.404,14.5610937726994,0.0829715197421088,"south"
"AL",2017,12.6338698958965,9.83,16.1297118202951,86241730,139964,181,NA,52984,0,0.726673962723581,30.8081876044107,39.5957918537636,0.375088038127941,0,0.744953967255495,7.20942102131382e-07,0.00560828353495868,30.3310980761464,0.000179416448002871,0.889,14.8959738076987,0.0848797215481628,"south"
"AL",2018,12.1075518359377,9.63,15.3136013875099,90280456,145058,357,NA,58800,0,0.726318799332372,32.3003038233241,40.6103429758496,0.380843466109387,0,0.753979706833227,3.07391134186406e-06,0.00538760760553117,10.7502353541536,0.000290392476601068,0.348,14.2295975023722,0.081082599186604,"south"
"AL",2019,12.1819511907904,9.83,15.5279601648631,88095112,142679,385,NA,57197,8.17709683975918,0.72414467512406,25.8373926875185,32.0193139996577,0.385089980928794,0,0.781351833644846,3.6321571861745e-06,0.00531048192880924,8.40795798068796,0.000435426282330401,0.31,14.5825860487087,0.0830939862841861,"south"
