OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,SOURCE,SOURCEDATE,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,Shape__Are,Shape__Len,NameProp,TypeProp,CityProp,CntrlProp,SimpleType,HoldCoProp,NameFinal,TypeAdj,index_right
935,16101,ROANOKE ELECTRIC MEMBER CORP,NOT AVAILABLE,NOT AVAILABLE,NC,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-florence/",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,ROANOKE ELECTRIC MEMBER CORP,65.0,60.0,-999999.0,-999999.0,-999999,275112,0,256835,-999999,275112,0,14169,2020,0.365369874295766,6.60486144396089,Roanoke Electric Member Corp,Cooperative,Not available,PJM Interconnection,Coop,Roanoke Electric Member Corp,Roanoke Electric Member Corp,Cooperative,20
941,1615,TOWN OF BERLIN - (MD),10 WILLIAM STREET,BERLIN,MD,21811,MUNICIPAL,USA,"EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF BERLIN - (MD),-999999.0,-999999.0,-999999.0,-999999.0,44012,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.129143645357999,5.39322010096653,Town of Berlin - (MD),Municipal,Berlin,PJM Interconnection,MuniAndPublic,Town of Berlin - (MD),Town of Berlin (MD),Municipal utility,20
995,16558,CITY OF SALEM - (VA),114 N. BROAD STREET,SALEM,VA,24153,MUNICIPAL,USA,"EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,CITY OF SALEM - (VA),76.0,60.0,5.3,5.3,-999999,354242,0,340551,-999999,354242,0,13563,2020,0.069951059543882,1.98254275511594,City of Salem - (VA),Municipal,Salem,PJM Interconnection,MuniAndPublic,City of Salem - (VA),City of Salem (VA),Municipal utility,20
1077,17066,SHENANDOAH VALLEY ELEC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,SHENANDOAH VALLEY ELEC COOP,523.0,519.0,-999999.0,-999999.0,-999999,2423153,0,2315170,-999999,2423153,0,96310,2020,0.775668897222204,6.63010616016445,Shenandoah Valley Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Shenandoah Valley Electric Coop,Shenandoah Valley Electric Coop,Cooperative,20
1154,17637,SOUTHERN MARYLAND ELEC COOP INC,NOT AVAILABLE,NOT AVAILABLE,MD,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://stormcenter.smeco.coop/external/default.html",2021-10-06,2018-10-12,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,SOUTHERN MARYLAND ELEC COOP INC,803.0,725.0,-999999.0,-999999.0,-999999,2430188,901302,3241824,-999999,3331490,0,169339,2020,0.3222010861341,6.11823846374498,Southern Maryland Electric Coop Inc,Cooperative,Not available,PJM Interconnection,Coop,Southern Maryland Electric Coop Inc,Southern Maryland Electric Coop,Cooperative,20
1220,1795,TOWN OF BLACKSTONE - (VA),NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,MUNICIPAL,USA,"EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF BLACKSTONE - (VA),-999999.0,-999999.0,-999999.0,-999999.0,35669,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.00043939436614,0.183433727705636,Town of Blackstone - (VA),Municipal,Not available,PJM Interconnection,MuniAndPublic,Town of Blackstone - (VA),Town of Blackstone (VA),Municipal utility,20
1462,19876,VIRGINIA ELECTRIC & POWER CO,120 TREDEGAR STREET,RICHMOND,VA,23219,INVESTOR OWNED,USA,"EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.dominionenergy.com/library/domcom/pdfs/virginia-power/service-territory.pdf",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,DOMINION RESOURCES,16356.0,14661.0,21076.5,-999999.0,80622711,6260083,0,81860386,4652759,86882794,0,2662831,2020,6.39565766589567,76.2045294088183,Virginia Electric & Power Co,Investor owned,Richmond,PJM Interconnection,IOU,Dominion Resources,Dominion Energy,Investor owned,20
1464,19882,VIRGINIA TECH ELECTRIC SERVICE,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,STATE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://vtes.vt.edu/content/dam/vtes_vt_edu/service-area.pdf",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,VIRGINIA TECH ELECTRIC SERVICE,56.0,48.0,-999999.0,-999999.0,-999999,315745,0,306099,-999999,315745,0,6626,2020,0.001551995725322,0.243744244316131,Virginia Tech Electric Service,State power authority,Not available,PJM Interconnection,MuniAndPublic,Virginia Tech Electric Service,Virginia Tech Electric Service,Power district or marketing authority,20
1475,19978,TOWN OF WAKEFIELD - (VA),NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,MUNICIPAL,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF WAKEFIELD - (VA),-999999.0,-999999.0,-999999.0,-999999.0,11706,-999999,-999999,-999999,-999999,-999999,-999999,532,2020,0.129174996955726,1.85958217896809,Town of Wakefield - (VA),Municipal,Not available,PJM Interconnection,MuniAndPublic,Town of Wakefield - (VA),Town of Wakefield (VA),Municipal utility,20
1596,20729,TOWN OF WILLIAMSPORT - (MD),NOT AVAILABLE,NOT AVAILABLE,MD,NOT AVAILABLE,MUNICIPAL,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF WILLIAMSPORT - (MD),-999999.0,-999999.0,-999999.0,-999999.0,17674,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.127012298806449,3.09649004376418,Town of Williamsport - (MD),Municipal,Not available,PJM Interconnection,MuniAndPublic,Town of Williamsport - (MD),Town of Williamsport (MD),Municipal utility,20
