"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.17 (0.15)","R0.16* (0.05)","R-0.08 (0.1)","R-0.21 (0.12)","R-0.15 (0.07)"
"st_rps_sales_cost","R0.2 (0.14)","R-0.04 (0.28)","R0.65* (0.12)","R0.43* (0.08)","R0.35 (0.16)"
"st_btm_delta","R-0.13 (0.4)","R0.06 (0.34)","R-0.34 (0.19)","R0.41* (0.11)","R0.33 (0.26)"
"st_load_pct","R-0.34* (0.12)","R-0.3* (0.06)","R-0.22 (0.22)","R-0.35* (0.1)","R-0.44* (0.12)"
"st_gas_exposure","R-0.3* (0.06)","R0.09 (0.08)","R0.3 (0.24)","R0.21 (0.17)","R0.11 (0.09)"
"st_saifi_delta","R0.06 (0.09)","R0.18 (0.25)","R0.02 (0.14)","R0.18 (0.23)","R-0.09 (0.09)"
"ca_rescale","R0.29 (0.27)","R0.34 (0.19)","R0.6* (0.09)","R0.45* (0.08)","R0.75* (0.09)"
"R2","0.214","0.32","0.449","0.632","0.837"
