"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.06 (0.06)","R0.11 (0.05)","R-0.05 (0.06)","R-0.22 (0.13)","R-0.21 (0.08)"
"st_rps_sales_cost","R0.19 (0.1)","R0.03 (0.24)","R0.77* (0.14)","R0.7* (0.09)","R0.58* (0.19)"
"st_btm_delta","R0.06 (0.26)","R0.23 (0.22)","R-0.13 (0.15)","R0.42 (0.21)","R0.44 (0.31)"
"st_load_pct","R-0.24 (0.1)","R-0.27* (0.05)","R-0.31 (0.21)","R-0.39* (0.09)","R-0.53* (0.11)"
"st_gas_exposure_nominal","R-0.16 (0.06)","R0.07 (0.04)","R0.27 (0.2)","R0.22 (0.13)","R0.16 (0.09)"
"st_saifi_delta","R-0.01 (0.08)","R0.14 (0.21)","R-0.02 (0.15)","R0.07 (0.13)","R-0.16 (0.11)"
"ca_rescale","R0.23 (0.18)","R0.35 (0.15)","R0.71* (0.08)","R0.67* (0.08)","R0.94* (0.08)"
"st_rate_delta_nominal_pre","R0.3* (0.06)","R0.06 (0.08)","R-0.13 (0.13)","R-0.06 (0.13)","R-0.03 (0.07)"
"R2","0.527","0.524","0.64","0.746","0.886"
