"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.15 (0.12)","R0.24 (0.09)","R0.12 (0.09)","R-0.05 (0.15)","R-0.13 (0.21)"
"st_rps_sales_cost","R0.26 (0.1)","R-0.02 (0.33)","R0.67* (0.21)","R0.37 (0.23)","R0.32 (0.11)"
"st_btm_delta","R-0.38 (0.24)","R-0.15 (0.17)","R-0.51 (0.27)","R0.34 (0.27)","R0.58* (0.15)"
"st_load_pct","R-0.23 (0.23)","R-0.38* (0.1)","R-0.21 (0.39)","R-0.22 (0.14)","R-0.41* (0.12)"
"st_gas_exposure","R-0.06 (0.07)","R0.23* (0.06)","R0.53 (0.19)","R0.49 (0.17)","R0 (0.12)"
"st_saifi_delta","R0.04 (0.16)","R0.18 (0.23)","R0.09 (0.14)","R0.09 (0.09)","R-0.05 (0.1)"
"ca_rescale","R0.34 (0.18)","R0.4* (0.1)","R0.63* (0.14)","R0.45* (0.12)","R0.69* (0.04)"
"st_rate_delta_pre","R0.35 (0.11)","R0.04 (0.04)","R-0.04 (0.24)","R-0.05 (0.06)","R-0.31* (0.09)"
"R2","0.547","0.632","0.609","0.811","0.92"
