"timeframe","state","rate_delta","rate_delta_nominal","resi_rate_delta","rate_pct","wind_solar_delta","wind_solar_pct","load_delta","load_pct","btm_delta","ee_delta","ev_delta","gas_share","gas_exposure","gas_exposure_nominal","coal_retirements_twh","utility_owned_gen","pou_pct","switching_pct","dr_potential","region","iso","expected_loss_mwh","expected_loss_fire_mwh","rate_delta_pre","rate_delta_nominal_pre","rate_pct_pre","saifi_delta","ami_delta","ca","rps_sales_cost"
"2019-2024","AL",-0.3419511907904,2.01,-0.4079601648631,-0.0280703136496653,0.607840358454584,2.25262479231017,-592112,-0.00672128097186595,-0.00036321571861745,-0.178207298443946,NA,0.417984778727677,1.58703152399962,14.2943475025807,12.0884871281697,0.725182271257564,0.390513175981858,0,8.9698435217557,"south",0,14.6812629419634,0.0836562635364712,-0.0889616184673994,0.56,-0.0072497963150942,0.266,0.127590781553511,0,0
"2019-2024","AR",-0.646738432176701,1.32,0.0952266866993003,-0.0634882731585468,3.36286824045254,10.3196818104516,1866968,0.0388199271778082,1.06932752965561,2.26195710083741,NA,0.367922404884656,1.35003693705271,12.1319685086131,0,0.895076332224839,0.407485887698156,0,6.05752124639035,"south",1,16.1704543385472,0.459242582396412,-0.270673778517601,0.32,-0.025883437801256,0.205,0.426362473278611,0,0
"2019-2024","AZ",-0.1157292398742,2.32,-0.357957647494,-0.0089326689166996,6.32952130200906,1.23238992264357,12374830,0.158795865527632,2.5255284099405,-0.9246665586926,NA,0.448328972780286,1.23198255192723,11.0300910093726,21.2175919402564,0.742509345452001,0.484610108805792,0,9.08953688397242,"west",0,5.77624768202231,2.15826746352851,-1.1540478348297,0.34,-0.081790649754395,-0.0545,0.114669711143065,0,0.0117630790379042
"2019-2024","CA",6.1994042907342,10.11,8.2761392639171,0.298039747389188,8.40511380563818,0.403170533709771,-5865710,-0.0234273513111398,6.4263268537278,4.2697419124673,NA,0.451432837263988,2.66963974666045,24.1247658528146,0,0.335901926761417,0.247630452170518,0.310933724644869,5.39799391184714,"west",1,66.8032860896991,5.8231863097782,-0.197746400927201,1.74,-0.00941723874625375,0.068,0.0369189547696355,1,0.246284316707638
"2019-2024","CO",-0.304692620676899,2.05,0.0599256519327014,-0.0243273531658482,17.0013495428812,0.793555949086034,227177,0.00401935053210389,2.3803404820761,1.80403705723941,NA,0.294072679634167,1.64855003766886,14.9345631404805,2.01995100997551,0.636048150975592,0.441856636910379,0,12.7680704759055,"west",0,14.0104486332103,1.9815797280222,-1.4187609521641,0.109999999999999,-0.101751043581309,-0.0985,0.466151509126617,0,0.0323352170314513
"2019-2024","CT",1.9999636960266,5.81,2.4245394443785,0.0890058061754418,0.757025550918589,2.02125822095263,-636996,-0.0228314011227815,4.81370303887385,-0.857648060313601,NA,0.570342723463128,2.59971020129921,23.7154894115314,0,0.0152135061159358,0.0451105782221415,0.468345781650457,3.5145147028358,"northeast",1,12.4277349565081,0.00833480227010869,0.561998888589802,1.61,0.0256526350550767,-0.233,0.0407366724317535,0,2.94314526793019
"2019-2024","DE",0.4029576269466,2.92,0.8972545834771,0.0309086689615648,2.47752086629911,2.2083529213334,-104422,-0.00910438206912258,0.8427242041169,2.57881985327628,NA,0.898195267675707,3.11922456451015,28.0089738816346,0,0.0336738402740877,0.226874922762028,0.345680605576642,15.5708054157469,"south",1,11.6147016073393,0.164566060916931,-1.8151304122618,-0.700000000000001,-0.122213122517432,-0.00799999999999998,0.197448079356031,0,0.588358617513891
"2019-2024","FL",-0.3679013664142,2.13,-0.3493722209815,-0.0284359384103239,5.44993779031075,3.43122550913532,14737045,0.0613154582488543,1.39645231206781,-0.43080087630774,NA,0.750998161218631,3.34266015360241,30.1012270352916,7.53338837627202,0.909761716667687,0.240190887762901,0,1.68458460049316,"south",0,35.6503192760789,1.0560425948938,-1.3185960398109,-0.33,-0.0924908834364277,0.077,0.239640424441709,0,0
"2019-2024","GA",-0.7291290682801,1.63,-0.433727975960899,-0.0596711160186418,4.57075245153262,2.72197720727735,7885010,0.0566041203296545,0.176587225731238,0.37887224662531,NA,0.459252410289712,1.85655603238252,16.6452878009251,22.4584460772252,0.709011338198846,0.390735979360305,0,4.96593228616334,"south",0,10.4711946916368,0.147397315221862,-1.0578132701078,-0.17,-0.0796729580612339,0.3075,0.0145190617048385,0,0
"2019-2024","IA",-1.6584176704125,0.35,-1.6660445124823,-0.149563059374801,22.3575476560123,0.53218098808859,3883852,0.0760895860106434,0.52085551296699,-2.25543867837391,NA,0.11950716082815,0.509146965289691,4.60283896522475,0,0.814624108490383,0.221545676113792,0,13.3198651263248,"midwest",1,15.32981478698,0.0508374572375827,0.5904005915614,0.93,0.0562392485292101,0.093,0.0962719742190155,0,0
