"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.1 (0.1)","R0.15* (0.05)","R-0.1 (0.12)","R-0.18 (0.13)","R-0.11 (0.08)"
"st_rps_sales_cost","R0.12 (0.24)","R-0.04 (0.26)","R0.48 (0.25)","R0.82* (0.03)","R0.64* (0.11)"
"st_load_pct","R-0.34* (0.11)","R-0.3* (0.05)","R-0.22 (0.26)","R-0.35* (0.1)","R-0.47* (0.1)"
"st_gas_exposure","R-0.21 (0.08)","R0.14* (0.04)","R0.21 (0.28)","R0.25 (0.13)","R0.13 (0.1)"
"st_saifi_delta","R0.02 (0.11)","R0.18 (0.24)","R0.04 (0.12)","R0.14 (0.22)","R-0.05 (0.09)"
"ca_rescale","R0.15* (0.05)","R0.35* (0.03)","R0.46* (0.08)","R0.67* (0.02)","R0.88* (0.03)"
"st_rate_delta_pre","R0.35* (0.09)","R0.11 (0.1)","R-0.07 (0.22)","R-0.18 (0.1)","R-0.16 (0.09)"
"R2","0.377","0.332","0.428","0.627","0.834"
