"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.01 (0.01)","R0.01* (0)","R0 (0.01)","R-0.01 (0.01)","R-0.01 (0.01)"
"st_rps_sales_cost","R0.02 (0.01)","R0 (0.02)","R0.04 (0.01)","R0.02* (0.01)","R0.01 (0.01)"
"st_btm_delta","R-0.01 (0.03)","R0 (0.02)","R-0.03 (0.01)","R0.04* (0.01)","R0.04* (0.01)"
"st_load_pct","R-0.03* (0.01)","R-0.03* (0)","R-0.02 (0.02)","R-0.03* (0.01)","R-0.04* (0.01)"
"st_gas_exposure","R-0.01 (0.01)","R0.01 (0.01)","R0.03 (0.02)","R0.02 (0.01)","R0 (0.01)"
"st_saifi_delta","R0 (0.01)","R0.01 (0.02)","R0 (0.01)","R0.01 (0.01)","R-0.01 (0.01)"
"ca_rescale","R0.01 (0.02)","R0.02 (0.01)","R0.03* (0.01)","R0.01 (0)","R0.03* (0)"
"st_rate_delta_pre","R0.02 (0.01)","R0 (0.01)","R-0.01 (0.02)","R-0.02* (0)","R-0.02* (0)"
"R2","0.341","0.283","0.348","0.598","0.77"
