"timeframe","state","rate_delta","rate_delta_nominal","resi_rate_delta","rate_pct","wind_solar_delta","wind_solar_pct","load_delta","load_pct","btm_delta","ee_delta","ev_delta","gas_share","gas_exposure","gas_exposure_nominal","coal_retirements_twh","utility_owned_gen","pou_pct","switching_pct","dr_potential","region","iso","expected_loss_mwh","expected_loss_fire_mwh","rate_delta_pre","rate_delta_nominal_pre","rate_pct_pre","saifi_delta","ami_delta","ca","rps_sales_cost"
"2023-2024","AL",0.0308397824723006,0.369999999999999,0.0574006990033986,0.00261151359658299,0.0163436068434209,0.0189747778535587,2622641,0.03089809033442,-0.00251016984561833,-0.043517968740323,NA,0.44715937402507,1.13576250750988,11.1901494283406,0,0.732665813267553,0.395586931429834,0,1.02726841097461,"south",0,14.6812629419634,0.0836562635364712,-0.298391618410001,1.84,-0.0246450828749965,0.153,0.00502351268332357,0,0
"2023-2024","AR",-0.477709582959401,-0.190000000000001,-0.372224295092799,-0.0476865074799141,2.42599946540271,1.92122133102243,1310700,0.0269418059458204,0.420138452619741,0.35305885779974,NA,0.40097426222698,0.910603235764729,8.96407013686804,0,0.865972588347209,0.403286309506412,0,6.88470394149301,"south",1,16.1704543385472,0.459242582396412,0.236115264829079,1.95,0.0241387300627911,0.111,0.00571878873883447,0,0
"2023-2024","AZ",0.307036969558499,0.65,0.5355503128146,0.0244983543646249,3.26531363154492,0.398200208525082,4385202,0.0510389123460503,0.13289032781446,-0.336884342206799,NA,0.473406836342981,0.484090392242542,4.72280803089062,0,0.691239307129501,0.481403461755317,0,9.78542295642371,"west",0,5.77624768202231,2.15826746352851,-1.1888788159251,1.34,-0.0866413437231024,0.0055,0.0137464442862421,0,0.0106692249822707
"2023-2024","CA",1.430287894415,2.13,1.5197424915234,0.0559368008724115,3.85439220541041,0.151758111426,5032548,0.02101444171318,0.751432100065901,0.3791618285795,NA,0.419242348580419,1.92218402529077,18.8516566971343,0,0.302842542645731,0.248011728335747,0.364410056316413,5.07037002970517,"west",1,66.8032860896991,5.8231863097782,4.6012201412755,8.29,0.219434957416453,0.095,0.00454852493934654,1,0.15316086577813
"2023-2024","CO",0.129134927154,0.460000000000001,0.357672572984901,0.0106803712038781,4.17758272729271,0.121980243209965,1182181,0.0212753275534371,0.22878667236408,0.23060861432109,NA,0.301452077518433,1.33828369616583,13.133484907099,0,0.595469729674714,0.446198017003672,0,26.1517414619102,"west",0,14.0104486332103,1.9815797280222,-0.5812874894206,1.74,-0.0458712508837274,-0.032,0.07205807062873,0,0.00351390624695449
"2023-2024","CT",-0.589700815205301,0.23,-2.1304232821095,-0.0235318378121854,0.0717039459042505,0.0676545861749942,577824,0.0216533703956084,2.37233818031197,-0.506835981551401,NA,0.59620266330952,1.80144552344988,17.7076007309123,0,0.0154435764548797,0.0442841385214952,0.477425706317245,5.37433447929584,"northeast",1,12.4277349565081,0.00833480227010869,2.5351051502899,5.83,0.112548308879906,0.00849999999999998,0.0143964746234655,0,2.13713401280369
"2023-2024","DE",0.210034106780199,0.59,0.254874435770599,0.0158756347881319,0.267470861413862,0.0802749025576698,283329,0.0255673535155483,0.22257148133444,0.41647776354319,NA,0.893711024983588,1.88509621512063,18.583284933522,0,0.0333406120546474,0.231684703939661,0.33567212020642,12.4136246046201,"south",1,11.6147016073393,0.164566060916931,-0.0342783299517997,2.3,-0.00258426559214871,0.026,0.003063674209835,0,0
"2023-2024","FL",-1.3600730377637,-0.959999999999999,-1.5097495125193,-0.0976357434793495,1.62676141679886,0.300611254400391,4144786,0.0165170258442515,0.0900426907781599,-0.08402465510571,NA,0.763235505618475,2.32392261874228,22.8964536172919,2.69247869302126,0.913566402411269,0.241299144974275,0,0.701976586011196,"south",0,35.6503192760789,1.0560425948938,0.955001911400601,3.21,0.0736028266897283,-0.211,0.00129847233249192,0,0
"2023-2024","GA",0.1029632078591,0.43,0.0451958694024004,0.00904214237106555,0.407297139132151,0.0697109283615031,5157169,0.0363107191947528,0.061303009038347,0.0389909774653398,NA,0.438958226659583,1.1789011988277,11.6031488889832,0,0.694564957361881,0.398552560197832,0,3.8800890024674,"south",0,10.4711946916368,0.147397315221862,-0.707942300457299,1.44,-0.0585319160155093,0.0745,-0.000471555768528975,0,0
"2023-2024","IA",-0.24352312915547,0.00999999999999979,-0.118215801386299,-0.0251741920605436,4.2859566895615,0.0713342129001207,526741,0.00968269287100269,0.13054006556043,-0.35041280041654,NA,0.139046181227707,0.374109760879699,3.68749359953951,0,0.803422075624148,0.214543756440709,0,16.4755071455866,"midwest",1,15.32981478698,0.0508374572375827,-1.38158122869163,0.5,-0.124972246662779,0.0595,7.1038747166019e-05,0,0
