GEOID,NAME,treated,total_population,pct_white,pct_hs_or_above,median_household_income,total_housing_units,propensity_score,weight,group
51179010108,"Census Tract 101.08, Stafford County, Virginia",0,5993,59.63624228266311,95.27658499621116,103878.0,2130,0.06894947243820722,0.3333333333333333,control
51107611013,"Census Tract 6110.13, Loudoun County, Virginia",0,4340,62.35023041474654,96.62162162162164,144638.0,1417,0.1553119988709512,0.5,control
51153901100,"Census Tract 9011, Prince William County, Virginia",0,6301,69.78257419457229,94.8892674616695,60186.0,1625,0.03590924570129407,1.0,control
51153900403,"Census Tract 9004.03, Prince William County, Virginia",0,5297,44.27034170285067,84.54249333728161,62544.0,1927,0.03699217932405738,1.0,control
51153901203,"Census Tract 9012.03, Prince William County, Virginia",0,4649,54.78597547859755,84.2502696871629,83375.0,1201,0.07096301603210135,0.25,control
51700032123,"Census Tract 321.23, Newport News city, Virginia",0,5968,41.70576407506702,94.07535231521426,42167.0,2297,0.020124759131666507,1.0,control
51059430400,"Census Tract 4304, Fairfax County, Virginia",0,6862,65.97201981929467,91.62475399081563,120500.0,2321,0.09187883960818233,0.5,control
51059432800,"Census Tract 4328, Fairfax County, Virginia",0,2302,55.125977410947,92.10006583278472,115000.0,777,0.10681268091911073,0.5,control
51087200109,"Census Tract 2001.09, Henrico County, Virginia",0,3896,96.38090349075976,98.56573705179282,149531.0,1394,0.11278479317497175,1.0,control
51153900904,"Census Tract 9009.04, Prince William County, Virginia",0,5334,39.12635920509936,95.20420792079209,113594.0,1590,0.12579249830272976,0.5,control
51153901011,"Census Tract 9010.11, Prince William County, Virginia",0,5529,59.79381443298969,96.51481888035126,141071.0,1787,0.1484164353702388,0.3333333333333333,control
51153901306,"Census Tract 9013.06, Prince William County, Virginia",0,5714,84.00420021001051,95.04222282756744,121406.0,1793,0.0845747894954974,0.5,control
51153901410,"Census Tract 9014.10, Prince William County, Virginia",0,7874,69.96443992887987,95.78219147511716,137009.0,2190,0.14445445134535279,0.3333333333333333,control
51041100107,"Census Tract 1001.07, Chesterfield County, Virginia",0,2324,42.25473321858864,85.55030384875084,39567.0,1208,0.020114882305821664,1.0,control
51013101100,"Census Tract 1011, Arlington County, Virginia",0,5945,88.67956265769554,97.52165543792108,181629.0,2309,0.17339259057404083,0.5,control
51013101300,"Census Tract 1013, Arlington County, Virginia",0,6966,84.52483491243181,97.39273249846028,182308.0,2378,0.20132015849001456,1.0,control
51023040501,"Census Tract 405.01, Botetourt County, Virginia",0,6447,96.74267100977198,94.28265524625267,77750.0,2476,0.02042208477625922,0.5,control
51033030600,"Census Tract 306, Caroline County, Virginia",0,3238,47.37492279184682,79.4396551724138,61140.0,1387,0.03385922357105556,1.0,control
51059420201,"Census Tract 4202.01, Fairfax County, Virginia",0,4282,54.01681457262961,90.18955769870304,129803.0,1313,0.14160313966869886,0.3333333333333333,control
51059422302,"Census Tract 4223.02, Fairfax County, Virginia",0,5301,62.950386719486886,93.43601895734596,116582.0,2705,0.052866740048022644,1.0,control
51059431300,"Census Tract 4313, Fairfax County, Virginia",0,4231,72.74875915859134,95.3280659567159,134722.0,1416,0.11779284025941422,0.5,control
51107611801,"Census Tract 6118.01, Loudoun County, Virginia",0,7213,53.37584916123666,97.7845351867941,140167.0,2466,0.1406889605764351,0.5,control
51107611806,"Census Tract 6118.06, Loudoun County, Virginia",0,10163,54.09819935058545,96.95091305076228,149078.0,3001,0.18643752030073324,1.0,control
