census_geoid,census_name,year,avg_total_lmp,avg_energy,avg_congestion,avg_loss,n_pnodes,inefficient_pricing,first_entry_year,treated,event_time,weight,group
51013101100,1011.0,2015,37.87595148401827,33.33905136986301,3.65668207762557,0.8802180365296803,2,4.53690011415525,,0,,0.5,control
51013101100,1011.0,2016,31.02018784153006,27.52486794171221,3.013933287795995,0.4813866120218578,2,3.4953198998178525,,0,,0.5,control
51013101100,1011.0,2017,31.83430650684931,29.38840982488584,1.808257990867581,0.637638698630137,2,2.445896689497718,,0,,0.5,control
51013101100,1011.0,2018,39.19477853881278,35.69340182648401,2.7451358447488565,0.7566158675799084,2,3.501751712328765,,0,,0.5,control
51013101100,1011.0,2019,27.91717408675799,25.979946347031955,1.4411489726027393,0.49673801369863024,2,1.9378869863013697,,0,,0.5,control
51013101100,1011.0,2020,22.299717099271405,20.62579007285974,1.428055555555555,0.2462596766848816,2,1.6743152322404367,,0,,0.5,control
51013101100,1011.0,2021,42.617853310502284,38.125222602739726,3.6516312785388125,0.8415839041095889,2,4.4932151826484015,,0,,0.5,control
51013101100,1011.0,2022,86.89585388127854,73.38870547945204,11.092319063926944,2.4155759132420096,2,13.507894977168952,,0,,0.5,control
51013101100,1011.0,2023,36.29242865296804,29.612191780821913,5.787247716894978,0.8936472602739727,2,6.6808949771689505,,0,,0.5,control
51013101100,1011.0,2024,37.52817566029145,31.229977231329677,5.24628415300546,1.0524601548269577,2,6.2987443078324175,,0,,0.5,control
51013101100,1011.0,2025,60.32398287671229,46.76924429223748,11.699808219178083,1.8555091324200919,2,13.555317351598175,,0,,0.5,control
51013101300,1013.0,2015,38.02490334855403,33.33905136986301,3.653076864535768,1.032775114155251,3,4.685851978691019,,0,,0.5,control
51013101300,1013.0,2016,31.097992562234367,27.524867941712206,3.001506147540985,0.5716184729811778,3,3.573124620522163,,0,,0.5,control
51013101300,1013.0,2017,31.944908675799073,29.38840982488584,1.8043249619482502,0.7521738964992389,3,2.556498858447489,,0,,0.5,control
51013101300,1013.0,2018,39.34137366818874,35.69340182648401,2.7321697108066965,0.9161651445966518,3,3.6483348554033483,,0,,0.5,control
51013101300,1013.0,2019,28.03508866057838,25.979946347031955,1.4384364535768641,0.6172796803652969,3,2.055716133942161,,0,,0.5,control
51013101300,1013.0,2020,22.373816408621735,20.62579007285974,1.4212503794778384,0.32733113236187,3,1.7485815118397083,,0,,0.5,control
51013101300,1013.0,2021,42.76277701674277,38.125222602739726,3.6403181126331816,0.9978165905631657,3,4.638134703196347,,0,,0.5,control
51013101300,1013.0,2022,86.98981544901066,73.38870547945204,10.882834094368347,2.7189486301369867,3,13.601782724505334,,0,,0.5,control
51013101300,1013.0,2023,36.35189535768646,29.612191780821913,5.7538778538812805,0.9864942922374434,3,6.740372146118724,,0,,0.5,control
51013101300,1013.0,2024,37.62231709168185,31.229977231329666,5.213516621129323,1.1794023224043721,3,6.3929189435336955,,0,,0.5,control
51013101300,1013.0,2025,60.411345509893444,46.76924429223743,11.583559360730591,2.059106544901065,3,13.642665905631656,,0,,0.5,control
51013102802,1028.02,2015,38.06811187214611,33.33905136986301,3.6510331050228295,1.078027397260274,4,4.729060502283104,,0,,0.5,control
51013102802,1028.02,2016,31.14368084016393,27.52486794171221,2.99445355191257,0.6243593465391621,4,3.618812898451732,,0,,0.5,control
51013102802,1028.02,2017,32.00000171232877,29.38840982488584,1.8020667808219186,0.8095251141552511,4,2.6115918949771695,,0,,0.5,control
51013102802,1028.02,2018,39.39995062785387,35.69340182648401,2.7244797374429206,0.9824383561643837,4,3.706918093607304,,0,,0.5,control
51013102802,1028.02,2019,28.034810216894975,25.979946347031955,1.4369115296803647,0.6186041666666667,4,2.0555156963470314,,0,,0.5,control
51013102802,1028.02,2020,22.40415841302368,20.625790072859736,1.4174698315118397,0.36142389571948996,4,1.7788937272313297,,0,,0.5,control
51013102802,1028.02,2021,42.81214069634703,38.125222602739726,3.635990296803654,1.051500285388128,4,4.687490582191782,,0,,0.5,control
51013102802,1028.02,2022,86.89789611872146,73.38870547945206,10.655601598173511,2.8543007990867584,4,13.50990239726027,,0,,0.5,control
51013102802,1028.02,2023,36.360480593607306,29.612191780821913,5.7148535958904105,1.0340633561643835,4,6.748916952054794,,0,,0.5,control
51013102802,1028.02,2024,37.62305043260473,31.229977231329705,5.177187784608378,1.2163903119307828,4,6.393578096539161,,0,,0.5,control
51013102802,1028.02,2025,60.37756906392695,46.76924429223746,11.44994178082192,2.15897345890411,4,13.60891523972603,,0,,0.5,control
51041101010,1010.1,2015,36.78121803652969,33.339051369863014,3.2544646118721463,0.18770205479452057,2,3.442166666666667,,0,,1.0,control
51041101010,1010.1,2016,29.763984517304195,27.52486794171221,2.3075996129326053,-0.0684830373406193,2,2.239116575591986,,0,,1.0,control
51041101010,1010.1,2017,31.46223002283105,29.38840982488584,1.8669172374429222,0.20690296803652955,2,2.0738202054794517,,0,,1.0,control
51041101010,1010.1,2018,38.920018835616446,35.69340182648401,3.0010513698630104,0.2257248858447487,2,3.226776255707759,,0,,1.0,control
51041101010,1010.1,2019,27.28275513698629,25.97994634703196,1.2092528538812783,0.09382648401826475,2,1.303079337899543,,0,,1.0,control
51041101010,1010.1,2020,21.28395101525944,20.666633213011345,0.7143656491960518,-0.09699170500434323,3,0.6173739441917085,,0,,1.0,control
51041101010,1010.1,2021,41.16393417047183,38.12522260273972,2.7760391933028905,0.26302929984779294,3,3.0390684931506833,,0,,1.0,control
51041101010,1010.1,2022,79.91761643835616,73.38870547945204,5.545286910197871,0.9841993911719941,3,6.5294863013698645,,0,,1.0,control
51041101010,1010.1,2023,33.16543226788432,29.612191780821913,3.31922488584475,0.2344303652968036,3,3.553655251141554,,0,,1.0,control
51041101010,1010.1,2024,34.91035670916819,31.229977231329666,3.5009373102610746,0.1797491651487552,3,3.68068647540983,,0,,1.0,control
51041101010,1010.1,2025,52.409108447488585,46.76924429223744,5.251682267884318,0.38846080669710825,3,5.6401430745814265,,0,,1.0,control
51059420201,4202.01,2015,37.75971404109589,33.33905136986301,3.6314503424657545,0.7892123287671234,2,4.420662671232878,,0,,0.5,control
51059420201,4202.01,2016,30.89551684881603,27.52486794171221,2.942877390710384,0.4277715163934427,2,3.3706489071038264,,0,,0.5,control
51059420201,4202.01,2017,31.789302511415528,29.38840982488584,1.790775114155251,0.6101175799086758,2,2.400892694063927,,0,,0.5,control
51059420201,4202.01,2018,38.986527397260275,35.69340182648401,2.6453670091324186,0.6480821917808218,2,3.2934492009132406,,0,,0.5,control
51059420201,4202.01,2019,27.826425799086767,25.97994634703196,1.4250017123287668,0.42203938356164383,2,1.8470410958904107,,0,,0.5,control
