year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours,latitude,longitude,GEOID,NAME
2018,48907,GOSHEN,LOAD,34.209885831715944,35.69533051718232,-2.101719374357804,0.6161936294097501,8759,37.96834452,-79.5092247,51163930200,9302
2018,48908,GOSHEN,LOAD,34.20882520835711,35.69533051718232,-2.1017410663317735,0.6152083571183926,8759,37.96834452,-79.5092247,51163930200,9302
2018,49283,ROCKRIDG,LOAD,39.16844160292269,35.69533051718232,2.783760703276631,0.6894942345016554,8759,37.79844248,-79.41556716,51163930101,9301.01
2018,49284,ROCKRIDG,LOAD,39.16017581915744,35.69533051718232,2.783761844959472,0.6811919168854892,8759,37.79844248,-79.41556716,51163930101,9301.01
2018,49285,ROCKRIDG,LOAD,38.625710697568216,35.69533051718232,2.32930014841877,0.6012421509304712,8759,37.79844248,-79.41556716,51163930101,9301.01
2018,49434,HAMILTON,LOAD,32.37089393766412,35.69533051718232,-3.224790501198768,-0.0999474825893367,8759,39.14640845,-77.68039988,51107610201,6102.01
2018,49435,HAMILTON,LOAD,32.37089393766412,35.69533051718233,-3.224790501198768,-0.0999474825893366,8759,39.14640845,-77.68039988,51107610201,6102.01
2018,49880,CHINCOTE,LOAD,57.93158579746546,35.69533051718233,19.21364539330974,3.0228405069071806,8759,37.93421224,-75.37815417,51001090102,901.02
2018,49881,CHINCOTE,LOAD,57.93158579746546,35.69533051718233,19.21364539330974,3.0228405069071806,8759,37.93421224,-75.37815417,51001090102,901.02
2018,50021,TASLEY,LOAD,58.92892453476425,35.69533051718233,19.209082086996233,4.024799634661489,8759,37.70603558,-75.70276562,51001090500,905
2018,50022,TASLEY,LOAD,58.92894965178674,35.69533051718232,19.209082086996233,4.024824751683981,8759,37.70603558,-75.70276562,51001090500,905
2018,50023,TASLEY,LOAD,58.92894965178674,35.69533051718232,19.209082086996233,4.024824751683981,8759,37.70603558,-75.70276562,51001090500,905
2018,50033,WALLOPS,LOAD,57.48157552231985,35.69533051718231,19.21364767667542,2.572803973056286,8759,37.88098031,-75.52172576,51001090202,902.02
2018,50036,WATTSVIL,LOAD,57.46946911747918,35.69533051718231,19.213646534992584,2.560710126726795,8759,37.93480234,-75.50210517,51001090201,902.01
