year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours
2015,48907,GOSHEN,LOAD,32.05686529680364,33.339051369863014,-2.2235833333333312,0.9413972602739725,8760
2015,48908,GOSHEN,LOAD,32.05887328767124,33.339051369863014,-2.223549086757989,0.94337100456621,8760
2015,49283,ROCKRIDG,LOAD,40.15535045662101,33.339051369863014,5.483211187214612,1.3330878995433795,8760
2015,49284,ROCKRIDG,LOAD,40.14413584474886,33.339051369863014,5.483212328767123,1.3218721461187222,8760
2015,49285,ROCKRIDG,LOAD,36.113238584474885,33.339051369863014,1.5563025114155251,1.2178847031963467,8760
2015,49434,HAMILTON,LOAD,31.699867579908684,33.339051369863014,-1.880711187214611,0.24152739726027406,8760
2015,49435,HAMILTON,LOAD,31.699867579908684,33.339051369863014,-1.880711187214611,0.24152739726027406,8760
2015,49880,CHINCOTE,LOAD,62.21242009132422,33.339051369863014,25.601115296803652,3.272253424657534,8760
2015,49881,CHINCOTE,LOAD,62.21242009132422,33.339051369863014,25.601115296803652,3.272253424657534,8760
2015,50021,TASLEY,LOAD,62.17318264840185,33.339051369863014,25.517465753424663,3.3166655251141557,8760
2015,50022,TASLEY,LOAD,62.17435273972605,33.339051369863014,25.517465753424663,3.317835616438357,8760
2015,50023,TASLEY,LOAD,62.17435273972605,33.339051369863014,25.517465753424663,3.317835616438357,8760
2015,50033,WALLOPS,LOAD,62.117276255707786,33.339051369863014,25.601115296803652,3.1771095890410943,8760
2015,50036,WATTSVIL,LOAD,62.11352968036528,33.339051369863014,25.601115296803652,3.173363013698629,8760
2015,50037,WATTSVIL,LOAD,62.11352968036528,33.339051369863014,25.601115296803652,3.173363013698629,8760
2015,205502,LAWRENCE,LOAD,32.267027397260286,33.339051369863014,-1.8383378995433792,0.766313926940639,8760
2015,205503,LAWRENCE,LOAD,32.267027397260286,33.339051369863014,-1.8383378995433792,0.766313926940639,8760
2015,1047929,HANOVER,LOAD,31.963179223744305,33.339051369863014,-1.3862271689497712,0.01035502283105019,8760
2015,1047930,HANOVER,LOAD,31.765618721461188,33.339051369863014,-1.3879771689497713,-0.18545547945205476,8760
2015,5021016,SOUTHWES,LOAD,39.313297945205484,33.339051369863014,4.831535388127853,1.1427111872146125,8760
2015,5021017,SOUTHWES,LOAD,39.31367351598174,33.339051369863014,4.831826484018263,1.1427956621004571,8760
2015,5021018,SOUTHWES,LOAD,39.31303082191782,33.339051369863014,4.831534246575341,1.1424452054794525,8760
2015,5021019,SOUTHWES,LOAD,39.31302739726028,33.339051369863014,4.831557077625569,1.14241894977169,8760
2015,5021036,GLASGOW,LOAD,31.727131278538803,33.339051369863014,-2.1029429223744294,0.49102283105022815,8760
