year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours
2018,48907,GOSHEN,LOAD,34.209885831715944,35.69533051718232,-2.101719374357804,0.6161936294097501,8759
2018,48908,GOSHEN,LOAD,34.20882520835711,35.69533051718232,-2.1017410663317735,0.6152083571183926,8759
2018,49283,ROCKRIDG,LOAD,39.16844160292269,35.69533051718232,2.783760703276631,0.6894942345016554,8759
2018,49284,ROCKRIDG,LOAD,39.16017581915744,35.69533051718232,2.783761844959472,0.6811919168854892,8759
2018,49285,ROCKRIDG,LOAD,38.625710697568216,35.69533051718232,2.32930014841877,0.6012421509304712,8759
2018,49434,HAMILTON,LOAD,32.37089393766412,35.69533051718232,-3.224790501198768,-0.0999474825893367,8759
2018,49435,HAMILTON,LOAD,32.37089393766412,35.69533051718233,-3.224790501198768,-0.09994748258933668,8759
2018,49880,CHINCOTE,LOAD,57.93158579746546,35.69533051718233,19.21364539330974,3.0228405069071806,8759
2018,49881,CHINCOTE,LOAD,57.93158579746546,35.69533051718233,19.21364539330974,3.0228405069071806,8759
2018,50021,TASLEY,LOAD,58.92892453476425,35.69533051718233,19.209082086996233,4.024799634661489,8759
2018,50022,TASLEY,LOAD,58.92894965178674,35.69533051718232,19.209082086996233,4.024824751683981,8759
2018,50023,TASLEY,LOAD,58.92894965178674,35.69533051718232,19.209082086996233,4.024824751683981,8759
2018,50033,WALLOPS,LOAD,57.48157552231985,35.69533051718231,19.21364767667542,2.572803973056286,8759
2018,50036,WATTSVIL,LOAD,57.46946911747918,35.69533051718231,19.213646534992584,2.560710126726795,8759
2018,50037,WATTSVIL,LOAD,57.46954104349813,35.69533051718231,19.213646534992584,2.5607809110629063,8759
2018,50607,HARRISBU,GEN,32.6414510788903,35.69533051718231,-3.2102329032994623,0.15605891083457019,8759
2018,50608,HARRISBU,GEN,32.6414510788903,35.69533051718231,-3.2102329032994623,0.15605891083457019,8759
