outcome,overall_post_att,overall_post_se,ci_low,ci_high
inefficient_pricing,0.9640224507391041,0.4853945712897961,0.012649091011103786,1.9153958104671043
avg_congestion,0.7314121147444511,0.4553074646739282,-0.1609905160164481,1.6238147455053502
avg_loss,0.23261033599465342,0.061896366808240094,0.11129345705050284,0.35392721493880397
avg_total_lmp,1.1210801657240652,0.510685674943684,0.12013624283444457,2.122024088613686
avg_energy,0.15714455492372614,0.2410859037001823,-0.31538381632863116,0.6296729261760834
