outcome,coef_post,se,p_value
inefficient_pricing,0.49110375753353896,1.589983328637499,0.7574177357117737
avg_congestion,0.2981735660658253,1.534847891744603,0.8459651550869917
avg_loss,0.1929301914677146,0.15758400210604515,0.22083884317851088
avg_total_lmp,0.671586609011402,1.5451804959319322,0.663828755793878
avg_energy,0.18054186069034328,0.3497729279805392,0.6057365428516689
