variable,treated_pre_mean,control_pre_mean,difference,std_mean_diff
inefficient_pricing,2.3021600377081506,4.685430511385972,-2.3832704736778214,-0.5450781977846945
avg_congestion,2.004625753515688,4.0945693515154575,-2.0899435979997696,-0.5321263176089904
avg_loss,0.2975342841924623,0.5908611598705149,-0.2933268756780526,-0.513626165711836
avg_total_lmp,33.62730608181046,40.398577629413424,-6.771271547602964,-0.475434744102355
avg_energy,31.325329707747652,35.713451733432976,-4.388122025685323,-0.36649996793912454
n_pnodes,2.32,2.156181015452539,0.1638189845474609,0.1455574318404863
