variable,t_stat,p_value
inefficient_pricing,-3.778950504148759,0.0007513350180701495
avg_congestion,-3.7680304463830367,0.0008821394621526952
avg_loss,-2.379295637345806,0.026379364234494673
avg_total_lmp,-5.53526397912109,0.0002703292204821702
avg_energy,-3.720043364734861,0.008711910128651941
n_pnodes,1.1229153469646291,0.30086765021779727
