outcome,method,estimate,se,conf.low,conf.high,p.value,outcome_label
avg_total_lmp,TWFE,3.328177892745346,2.3237962667528422,-1.3234057240052448,7.979761509495937,0.15744962716205035,Total LMP
inefficient_pricing,TWFE,3.196605987207627,2.3409872170612607,-1.4893890553443963,7.88260102975965,0.17737020088329689,Inefficient Pricing
avg_congestion,TWFE,3.0018568295786423,2.3115174519575388,-1.6251480689116082,7.628861728068893,0.199203033524202,Congestion
avg_loss,TWFE,0.19474915762898584,0.10019129884104083,-0.005805517020345874,0.39530383227831756,0.056779660670781565,Marginal Loss
avg_energy,TWFE,0.13164484149744748,0.2355625361701516,-0.3398848057639395,0.6031744887588344,0.5784134459650605,System Energy
avg_total_lmp,Sun-Abraham,3.6515870240806008,1.5518512057376819,0.6099586608347445,6.6932153873264575,0.01862001577000857,Total LMP
inefficient_pricing,Sun-Abraham,3.5208698491002677,1.5596412600107485,0.46397297947920046,6.577766718721335,0.023977661701593087,Inefficient Pricing
avg_congestion,Sun-Abraham,3.2540216802039916,1.5221163702767733,0.27067359446151595,6.237369765946467,0.03253077575927593,Congestion
avg_loss,Sun-Abraham,0.2668481688962716,0.11345253017594639,0.04448120975141667,0.48921512804112655,0.018669315986836205,Marginal Loss
avg_energy,Sun-Abraham,0.1308021741989334,0.21160715925194273,-0.2839478579348743,0.5455522063327412,0.5364851601410601,System Energy
avg_total_lmp,Callaway-Sant'Anna,3.642499789241341,1.6255109005091877,0.4564984242433332,6.8285011542393494,0.025036841816422573,Total LMP
inefficient_pricing,Callaway-Sant'Anna,3.5068773331030765,1.6470122167091954,0.2787333883530536,6.735021277853099,0.0332347584680831,Inefficient Pricing
avg_congestion,Callaway-Sant'Anna,3.2463164358425383,1.6047907191243236,0.10092662635886418,6.391706245326212,0.04308440379908466,Congestion
avg_loss,Callaway-Sant'Anna,0.26056089726053866,0.11553401873330625,0.03411422054325841,0.4870075739778189,0.024116119978268853,Marginal Loss
avg_energy,Callaway-Sant'Anna,0.13570525477757286,0.22073116110788166,-0.29692782099387516,0.5683383305490209,0.5386875964816111,System Energy
