outcome,method,estimate,se,conf.low,conf.high,p.value,outcome_label
avg_total_lmp,TWFE,4.01098894321966,2.31549240419941,-0.6120408033592257,8.634018689798545,0.08790204955355284,Total LMP
inefficient_pricing,TWFE,3.8831881395211925,2.339039797647343,-0.7868554949749074,8.553231774017291,0.10162592907720272,Inefficient Pricing
avg_congestion,TWFE,3.6014554342248832,2.30710446526261,-1.0048272519244437,8.20773812037421,0.1232996755638649,Congestion
avg_loss,TWFE,0.2817327052963121,0.10332804782566023,0.07543160152779613,0.4880338090648281,0.008188025973011454,Marginal Loss
avg_energy,TWFE,0.1278910079699335,0.2263251906136503,-0.3239818147218805,0.5797638306617474,0.5739376760547252,System Energy
avg_total_lmp,Sun-Abraham,4.184716298483171,1.531336607641918,1.1832965475050123,7.1861360494613304,0.0062813441691666454,Total LMP
inefficient_pricing,Sun-Abraham,4.038437464780555,1.5396957479127498,1.020633798871566,7.0562411306895445,0.008718992933065278,Inefficient Pricing
avg_congestion,Sun-Abraham,3.710143131395066,1.5040074096002412,0.7622886085785932,6.657997654211538,0.013631188520144027,Congestion
avg_loss,Sun-Abraham,0.3282943333854902,0.11089705394982634,0.11093610764383058,0.5456525591271498,0.0030728756401133183,Marginal Loss
avg_energy,Sun-Abraham,0.14638083765185747,0.2086003689306243,-0.26247588545216616,0.5552375607558812,0.48284845506571067,System Energy
avg_total_lmp,Callaway-Sant'Anna,4.1778580668694225,1.625230057268563,0.9924071546230393,7.363308979115805,0.010151499463522484,Total LMP
inefficient_pricing,Callaway-Sant'Anna,4.030053191166269,1.6447310378831497,0.8063803569152959,7.253726025417242,0.014274477222150613,Inefficient Pricing
avg_congestion,Callaway-Sant'Anna,3.704559415075635,1.602520649385482,0.5636189422800904,6.8454998878711795,0.020793793663921884,Congestion
avg_loss,Callaway-Sant'Anna,0.32549377609063423,0.11486301084443856,0.10036227483553467,0.5506252773457339,0.004600440602094521,Marginal Loss
avg_energy,Callaway-Sant'Anna,0.1479057695446999,0.21762990045980862,-0.27864883535652496,0.5744603744459248,0.4967447050826071,System Energy
