year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours
2015,48907,GOSHEN,LOAD,32.05686529680364,33.33905136986301,-2.2235833333333326,0.9413972602739725,8760
2015,48908,GOSHEN,LOAD,32.05887328767125,33.33905136986301,-2.2235490867579903,0.9433710045662105,8760
2015,49283,ROCKRIDG,LOAD,40.15535045662101,33.33905136986301,5.483211187214615,1.3330878995433793,8760
2015,49284,ROCKRIDG,LOAD,40.14413584474887,33.33905136986301,5.483212328767126,1.3218721461187217,8760
2015,49285,ROCKRIDG,LOAD,36.11323858447491,33.33905136986301,1.5563025114155309,1.2178847031963473,8760
2015,49434,HAMILTON,LOAD,31.69986757990869,33.33905136986301,-1.8807111872146118,0.2415273972602741,8760
2015,49435,HAMILTON,LOAD,31.69986757990869,33.33905136986301,-1.8807111872146118,0.2415273972602741,8760
2015,49880,CHINCOTE,LOAD,62.21242009132422,33.33905136986301,25.60111529680365,3.2722534246575345,8760
2015,49881,CHINCOTE,LOAD,62.21242009132422,33.33905136986301,25.60111529680365,3.2722534246575345,8760
2015,50021,TASLEY,LOAD,62.17318264840185,33.33905136986301,25.517465753424656,3.3166655251141566,8760
2015,50022,TASLEY,LOAD,62.17435273972604,33.33905136986301,25.517465753424656,3.317835616438358,8760
2015,50023,TASLEY,LOAD,62.17435273972604,33.33905136986301,25.517465753424656,3.317835616438358,8760
2015,50033,WALLOPS,LOAD,62.1172762557078,33.33905136986301,25.60111529680365,3.1771095890410948,8760
2015,50036,WATTSVIL,LOAD,62.113529680365325,33.33905136986301,25.60111529680365,3.173363013698628,8760
2015,50037,WATTSVIL,LOAD,62.113529680365325,33.33905136986301,25.601115296803652,3.173363013698628,8760
2015,50607,HARRISBU,GEN,32.119922374429215,33.33905136986301,-1.7758573059360712,0.5567283105022828,8760
2015,50608,HARRISBU,GEN,32.11992009132419,33.33905136986301,-1.7758607305936058,0.5567294520547942,8760
2015,50738,HAMILTON,GEN,31.697496575342473,33.33905136986301,-1.880711187214611,0.23915639269406405,8760
2015,50924,TASLEY,GEN,62.17318264840185,33.33905136986301,25.517465753424652,3.316665525114156,8760
2015,93142,BURLINGT,GEN,31.77710730593607,33.33905136986301,-2.077821917808219,0.5158778538812786,8760
