year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours,latitude,longitude,census_geoid,census_name
2015,48907,GOSHEN,LOAD,32.05686529680364,33.33905136986301,-2.2235833333333326,0.9413972602739724,8760,37.96834452,-79.5092247,51163930200,9302
2015,48908,GOSHEN,LOAD,32.05887328767125,33.33905136986301,-2.2235490867579903,0.9433710045662104,8760,37.96834452,-79.5092247,51163930200,9302
2015,49283,ROCKRIDG,LOAD,40.15535045662101,33.33905136986301,5.483211187214615,1.3330878995433793,8760,37.79844248,-79.41556716,51163930100,9301
2015,49284,ROCKRIDG,LOAD,40.14413584474887,33.33905136986301,5.483212328767126,1.3218721461187215,8760,37.79844248,-79.41556716,51163930100,9301
2015,49285,ROCKRIDG,LOAD,36.11323858447491,33.33905136986301,1.5563025114155309,1.2178847031963471,8760,37.79844248,-79.41556716,51163930100,9301
2015,49434,HAMILTON,LOAD,31.69986757990869,33.33905136986301,-1.880711187214612,0.2415273972602741,8760,39.14640845,-77.68039988,51107610201,6102.01
2015,49435,HAMILTON,LOAD,31.69986757990869,33.33905136986301,-1.880711187214612,0.2415273972602741,8760,39.14640845,-77.68039988,51107610201,6102.01
2015,49880,CHINCOTE,LOAD,62.21242009132422,33.33905136986301,25.60111529680365,3.2722534246575345,8760,37.93421224,-75.37815417,51001090100,901
2015,49881,CHINCOTE,LOAD,62.21242009132422,33.33905136986301,25.60111529680365,3.2722534246575345,8760,37.93421224,-75.37815417,51001090100,901
2015,50021,TASLEY,LOAD,62.17318264840185,33.33905136986301,25.517465753424656,3.316665525114157,8760,37.70603558,-75.70276562,51001090500,905
2015,50022,TASLEY,LOAD,62.17435273972604,33.33905136986301,25.517465753424656,3.317835616438358,8760,37.70603558,-75.70276562,51001090500,905
2015,50023,TASLEY,LOAD,62.17435273972604,33.33905136986301,25.517465753424656,3.317835616438358,8760,37.70603558,-75.70276562,51001090500,905
2015,50033,WALLOPS,LOAD,62.1172762557078,33.33905136986301,25.60111529680365,3.1771095890410948,8760,37.88098031,-75.52172576,51001090200,902
2015,50036,WATTSVIL,LOAD,62.113529680365325,33.33905136986301,25.60111529680365,3.173363013698628,8760,37.93480234,-75.50210517,51001090200,902
2015,50037,WATTSVIL,LOAD,62.113529680365325,33.33905136986301,25.601115296803652,3.173363013698628,8760,37.93480234,-75.50210517,51001090200,902
2015,205502,LAWRENCE,LOAD,32.267027397260264,33.33905136986301,-1.8383378995433777,0.7663139269406396,8760,36.74967218,-77.84646653,51025930203,9302.03
2015,205503,LAWRENCE,LOAD,32.267027397260264,33.33905136986301,-1.8383378995433777,0.7663139269406396,8760,36.74967218,-77.84646653,51025930203,9302.03
2015,1047929,HANOVER,LOAD,31.963179223744305,33.33905136986301,-1.386227168949771,0.0103550228310502,8760,37.74069535,-77.46271479,51085320602,3206.02
2015,1047930,HANOVER,LOAD,31.765618721461188,33.33905136986301,-1.387977168949771,-0.1854554794520548,8760,37.74069535,-77.46271479,51085320602,3206.02
2015,5021016,SOUTHWES,LOAD,39.31329794520546,33.33905136986301,4.831535388127853,1.142711187214612,8760,37.50207966,-77.5323324,51041100107,1001.07
2015,5021017,SOUTHWES,LOAD,39.313673515981726,33.33905136986301,4.831826484018264,1.1427956621004565,8760,37.50207966,-77.5323324,51041100107,1001.07
2015,5021018,SOUTHWES,LOAD,39.3130308219178,33.33905136986301,4.831534246575342,1.1424452054794525,8760,37.50207966,-77.5323324,51041100107,1001.07
2015,5021019,SOUTHWES,LOAD,39.31302739726026,33.33905136986301,4.831557077625571,1.1424189497716897,8760,37.50207966,-77.5323324,51041100107,1001.07
2015,5021036,GLASGOW,LOAD,31.727131278538817,33.33905136986301,-2.1029429223744276,0.4910228310502285,8760,37.62484234,-79.48069516,51163930400,9304
2015,5021037,GLASGOW,LOAD,31.727131278538817,33.33905136986301,-2.1029429223744276,0.4910228310502285,8760,37.62484234,-79.48069516,51163930400,9304
2015,5021066,BARTONVI,LOAD,36.36658561643837,33.33905136986301,2.933589041095893,0.0939452054794519,8760,39.12957187,-78.20752686,51069050900,509
2015,5021067,BARTONVI,LOAD,36.3663287671233,33.33905136986301,2.9335342465753453,0.0937431506849314,8760,39.12957187,-78.20752686,51069050900,509
2015,5021139,CRAIGSVI,LOAD,35.92927853881278,33.33905136986301,2.729037671232878,-0.1388105022831051,8760,38.08285176,-79.38484134,51015070100,701
2015,5021155,DOUBLETO,LOAD,36.04340296803653,33.33905136986301,2.7649349315068505,-0.0605833333333333,8760,39.06134905,-78.13704877,51043010200,102
2015,5021158,DUPONT,LOAD,32.98562785388127,33.33905136986301,0.5951392694063915,-0.9485627853881274,8760,37.45327138,-77.43845776,51041100300,1003
2015,5021159,DUPONT,LOAD,32.98562785388127,33.33905136986301,0.5951392694063915,-0.9485627853881274,8760,37.45327138,-77.43845776,51041100300,1003
2015,5021160,DUPONT,LOAD,32.98562785388127,33.33905136986301,0.5951392694063915,-0.9485627853881274,8760,37.45327138,-77.43845776,51041100300,1003
2015,5021161,DUPONT,LOAD,32.98562785388127,33.33905136986301,0.5951392694063915,-0.9485627853881274,8760,37.45327138,-77.43845776,51041100300,1003
2015,5021243,GORE APS,LOAD,36.41065525114155,33.33905136986301,2.8639634703196357,0.2076404109589041,8760,39.27620298,-78.36464218,51069050400,504
2015,5021244,GORE APS,LOAD,36.41065525114155,33.33905136986301,2.8639634703196357,0.2076404109589041,8760,39.27620298,-78.36464218,51069050400,504
2015,5021246,GRAFTON,LOAD,33.04785159817351,33.33905136986301,0.4382191780821911,-0.7294189497716893,8760,37.14913923,-76.4984995,51199050306,503.06
2015,5021247,GRAFTON,LOAD,33.04785159817351,33.33905136986301,0.4382191780821911,-0.7294189497716893,8760,37.14913923,-76.4984995,51199050306,503.06
2015,5021255,GREENWOO,LOAD,36.2447294520548,33.33905136986301,2.752680365296805,0.1529977168949771,8760,39.15236609,-78.13148503,51069051000,510
2015,5021256,GREENWOO,LOAD,36.2447294520548,33.33905136986301,2.752680365296805,0.1529977168949771,8760,39.15236609,-78.13148503,51069051000,510
2015,5021322,KLINESMI,LOAD,35.83018607305936,33.33905136986301,2.7173287671232886,-0.2261940639269408,8760,39.05412251,-78.25515661,51069050600,506
2015,5021428,NSHE APS,LOAD,36.543319634703195,33.33905136986301,3.1936723744292257,0.0105958904109589,8760,38.52692713,-78.620324,51139030500,305
2015,5021429,NSHE APS,LOAD,36.543319634703195,33.33905136986301,3.1936723744292257,0.0105958904109589,8760,38.52692713,-78.620324,51139030500,305
2015,5021440,OLDCHAPE,LOAD,36.312450913242,33.33905136986301,2.8902819634703203,0.0831175799086757,8760,39.15975987,-78.00807123,51043010100,101
2015,5021441,OLDCHAPE,LOAD,36.312450913242,33.33905136986301,2.8902819634703203,0.0831175799086757,8760,39.15975987,-78.00807123,51043010100,101
2015,5021451,PAGE,LOAD,36.57343493150683,33.33905136986301,3.0101963470319655,0.2241872146118721,8760,38.6696023,-78.45205357,51139030100,301
2015,5021452,PAGE,LOAD,36.573042237442905,33.33905136986301,3.009649543378998,0.2243413242009132,8760,38.6696023,-78.45205357,51139030100,301
2015,5021453,PAGE,LOAD,36.57343493150683,33.33905136986301,3.0101963470319655,0.2241872146118721,8760,38.6696023,-78.45205357,51139030100,301
2015,5021485,REDBUD,LOAD,36.33730022831049,33.33905136986301,2.743883561643836,0.2543652968036531,8760,39.21197165,-78.13499188,51069051102,511.02
2015,5021486,REDBUD,LOAD,36.33730479452054,33.33905136986301,2.743883561643836,0.2543698630136987,8760,39.21197165,-78.13499188,51069051102,511.02
2015,5021496,RIVERTON,LOAD,36.070607305936086,33.33905136986301,2.7749086757990864,-0.0433527397260273,8760,38.96540748,-78.17722791,51187020200,202
2015,5021540,SPERRYVI,LOAD,36.65495205479453,33.33905136986301,3.010196347031965,0.3057043378995434,8760,38.65846951,-78.22062419,51157950200,9502
2015,5021550,STRASBUR,LOAD,36.16311073059362,33.33905136986301,2.8813881278538815,-0.0573287671232876,8760,39.00164336,-78.35871382,51171040100,401
2015,5021551,STRASBUR,LOAD,36.16311073059362,33.33905136986301,2.8813881278538815,-0.0573287671232876,8760,39.00164336,-78.35871382,51171040100,401
2015,10700750,BELLEHAV,LOAD,62.734098173515974,33.33905136986301,25.51746689497716,3.8775799086758007,8760,37.54846186,-75.79083453,51001090800,908
2015,21601652,PERDUE,LOAD,62.159796803653,33.33905136986301,25.517450913242,3.303294520547944,8760,37.74189181,-75.65576839,51001090500,905
2015,31020629,GREENWOO,LOAD,36.2447294520548,33.33905136986301,2.752680365296805,0.1529977168949771,8760,39.15236609,-78.13148503,51069051000,510
