Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat,geometry
Lee Highway,LEE HIGHWAY,152834,WYTHEVILLE,Wytheville,24382,SUBSTATION,Substation,IN SERVICE,In service,WYTHE,Wythe,51197,VA,Virginia,USA,36.946655205,-81.060245269,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2016-08-04,IMAGERY/OTHER,2019-02-06,1.0,1,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.06024526879389 36.946655204698445)
Wythe,WYTHE,152866,WYTHEVILLE,Wytheville,24382,SUBSTATION,Substation,IN SERVICE,In service,WYTHE,Wythe,51197,VA,Virginia,USA,36.948432396,-81.060499469,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-12,IMAGERY,2014-09-12,7.0,7,138.0,138,69.0,69,Y,N,69 to 114,POINT (-81.0604994686631 36.94843239622409)
Progress Park,PROGRESS PARK,152867,WYTHEVILLE,Wytheville,24382,SUBSTATION,Substation,IN SERVICE,In service,WYTHE,Wythe,51197,VA,Virginia,USA,36.961087464,-81.003601879,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-12,IMAGERY,2014-09-12,3.0,3,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.0036018790778 36.96108746414286)
Tap152886,TAP152886,152886,BRISTOL,Bristol,24201,TAP,Tap,IN SERVICE,In service,BRISTOL,Bristol,51520,VA,Virginia,USA,36.604387788,-82.151027619,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-09-11,IMAGERY/OTHER,2015-08-14,3.0,3,-999999.0,Unknown,-999999.0,Unknown,Y,Y,Unknown,POINT (-82.15102761907875 36.60438778791579)
Hansonville,HANSONVILLE,152903,LEBANON,Lebanon,24266,SUBSTATION,Substation,IN SERVICE,In service,RUSSELL,Russell,51167,VA,Virginia,USA,36.847819016,-82.121324953,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-09,IMAGERY,2014-09-09,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.12132495266842 36.84781901618677)
Broadford (138 kV),BROADFORD (138 KV),153211,SALTVILLE,Saltville,24370,SUBSTATION,Substation,IN SERVICE,In service,SMYTH,Smyth,51173,VA,Virginia,USA,36.920738765,-81.682952481,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,6.0,6,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.68295248121484 36.92073876505253)
Tap153937,TAP153937,153937,ST PAULS,St Pauls,28384,TAP,Tap,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.163480952,-81.800633971,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-06-25,IMAGERY/OTHER,2015-08-14,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.80063397083222 37.163480952085614)
Tap154137,TAP154137,154137,GOOSE CREEK,Goose Creek,29445,TAP,Tap,IN SERVICE,In service,GILES,Giles,51071,VA,Virginia,USA,37.356209584,-80.672051013,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015-03-04,IMAGERY/OTHER,2015-08-14,3.0,3,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-80.67205101285492 37.35620958368712)
Tap154211,TAP154211,154211,GLEN LYN,Glen Lyn,24093,TAP,Tap,IN SERVICE,In service,GILES,Giles,51071,VA,Virginia,USA,37.367649398,-80.857126577,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2015-03-04,IMAGERY/OTHER,2015-08-14,3.0,3,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-80.85712657736914 37.36764939775138)
Jacksons Ferry,JACKSONS FERRY,154233,MAX MEADOWS,Max Meadows,24360,SUBSTATION,Substation,IN SERVICE,In service,WYTHE,Wythe,51197,VA,Virginia,USA,36.879162195,-80.823170254,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-07-01,IMAGERY,2014-07-01,7.0,7,765.0,765,138.0,138,N,Y,115 to 229,POINT (-80.82317025423953 36.87916219518107)
