Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/france/lille/oxya-loos/,france,lille,oxya-loos
https://www.datacentermap.com/germany/frankfurt/p3-datacenter-hanau/,germany,frankfurt,p3-datacenter-hanau
https://www.datacentermap.com/spain/barcelona/panattoni-barcelona-campus/,spain,barcelona,panattoni-barcelona-campus
https://www.datacentermap.com/spain/barcelona/panattoni-barcelona-dc01/,spain,barcelona,panattoni-barcelona-dc01
https://www.datacentermap.com/spain/barcelona/panattoni-barcelona-dc02/,spain,barcelona,panattoni-barcelona-dc02
https://www.datacentermap.com/italy/rome/panservice/,italy,rome,panservice
https://www.datacentermap.com/cyprus/anatoliko/paphos-landing-station/,cyprus,anatoliko,paphos-landing-station
https://www.datacentermap.com/spain/valencia/parc-tecnologic/,spain,valencia,parc-tecnologic
https://www.datacentermap.com/france/paris/paris-nation/,france,paris,paris-nation
https://www.datacentermap.com/estonia/tallinn/parnu-mnt-datacenter/,estonia,tallinn,parnu-mnt-datacenter
https://www.datacentermap.com/germany/frankfurt/partimus-limburg-data-center/,germany,frankfurt,partimus-limburg-data-center
https://www.datacentermap.com/france/le-mans/pascal-de-rienzo/,france,le-mans,pascal-de-rienzo
https://www.datacentermap.com/the-netherlands/amsterdam/paul-van-vlissingenstraat/,the-netherlands,amsterdam,paul-van-vlissingenstraat
https://www.datacentermap.com/the-netherlands/the-hague/pb400/,the-netherlands,the-hague,pb400
https://www.datacentermap.com/germany/lindau/pck-it-lindau/,germany,lindau,pck-it-lindau
https://www.datacentermap.com/croatia/zagreb/pck-jastrebarsko/,croatia,zagreb,pck-jastrebarsko
https://www.datacentermap.com/croatia/zagreb/pck-kriz/,croatia,zagreb,pck-kriz
https://www.datacentermap.com/poland/trojmiasto/pcpd/,poland,trojmiasto,pcpd
https://www.datacentermap.com/the-netherlands/hengelo/pdc11/,the-netherlands,hengelo,pdc11
https://www.datacentermap.com/the-netherlands/overijssel/pdc2/,the-netherlands,overijssel,pdc2
https://www.datacentermap.com/the-netherlands/amsterdam/penta-ams01/,the-netherlands,amsterdam,penta-ams01
https://www.datacentermap.com/germany/berlin/penta-ber01/,germany,berlin,penta-ber01
https://www.datacentermap.com/germany/berlin/penta-ber02/,germany,berlin,penta-ber02
https://www.datacentermap.com/germany/cologne/penta-cgn01/,germany,cologne,penta-cgn01
https://www.datacentermap.com/denmark/copenhagen/penta-cph01/,denmark,copenhagen,penta-cph01
