Datacenter URL,State,City,Datacenter Name
https://www.datacentermap.com/usa/california/los-angeles/spectrum-networks-el-segundo/,california,los-angeles,spectrum-networks-el-segundo
https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy01b/,california,san-jose,stack-infrastructure-svy01b
https://www.datacentermap.com/usa/california/santa-clara/stack-infrastructure-svy02a/,california,santa-clara,stack-infrastructure-svy02a
https://www.datacentermap.com/usa/california/hayward/stack-infrastructure-svy03a/,california,hayward,stack-infrastructure-svy03a
https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy05/,california,san-jose,stack-infrastructure-svy05
https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy06/,california,san-jose,stack-infrastructure-svy06
https://www.datacentermap.com/usa/california/santa-clara/stratcap-santa-clara/,california,santa-clara,stratcap-santa-clara
https://www.datacentermap.com/usa/california/irvine/streaming-media-hosting/,california,irvine,streaming-media-hosting
https://www.datacentermap.com/usa/california/sacramento/sungard-sacramento/,california,sacramento,sungard-sacramento
https://www.datacentermap.com/usa/california/san-jose/sv7-san-jose-evocative-data-center/,california,san-jose,sv7-san-jose-evocative-data-center
https://www.datacentermap.com/usa/california/santa-clara/svcolo-santa-clara/,california,santa-clara,svcolo-santa-clara
https://www.datacentermap.com/usa/california/san-jose/svcolo-sunnyvale/,california,san-jose,svcolo-sunnyvale
https://www.datacentermap.com/usa/california/san-jose/svtix/,california,san-jose,svtix
https://www.datacentermap.com/usa/california/los-angeles/switch-data-los-angeles/,california,los-angeles,switch-data-los-angeles
https://www.datacentermap.com/usa/california/palo-alto/switchdata-palo-alto/,california,palo-alto,switchdata-palo-alto
https://www.datacentermap.com/usa/california/santa-clara/switchdata-sunnyvale/,california,santa-clara,switchdata-sunnyvale
https://www.datacentermap.com/usa/california/fremont/t5-data-centers-t5silicon-valley/,california,fremont,t5-data-centers-t5silicon-valley
https://www.datacentermap.com/usa/california/los-angeles/t5-el-segundo/,california,los-angeles,t5-el-segundo
https://www.datacentermap.com/usa/california/santa-clara/tata-santa-clara/,california,santa-clara,tata-santa-clara
https://www.datacentermap.com/usa/california/los-angeles/telecom-center-la/,california,los-angeles,telecom-center-la
https://www.datacentermap.com/usa/california/los-angeles/telehouse-los-angeles/,california,los-angeles,telehouse-los-angeles
https://www.datacentermap.com/usa/california/santa-clara/telx-scl2/,california,santa-clara,telx-scl2
https://www.datacentermap.com/usa/california/san-jose/terra-data-center/,california,san-jose,terra-data-center
https://www.datacentermap.com/usa/california/los-angeles/the-garland-building/,california,los-angeles,the-garland-building
https://www.datacentermap.com/usa/california/sacramento/tpx-sacramento-data-center/,california,sacramento,tpx-sacramento-data-center
https://www.datacentermap.com/usa/california/irvine/tpx-santa-ana-data-center/,california,irvine,tpx-santa-ana-data-center
https://www.datacentermap.com/usa/california/los-angeles/turnkey-la/,california,los-angeles,turnkey-la
https://www.datacentermap.com/usa/california/bakersfield/twtc-bakersfield/,california,bakersfield,twtc-bakersfield
https://www.datacentermap.com/usa/california/fresno/twtc-fresno/,california,fresno,twtc-fresno
https://www.datacentermap.com/usa/california/inland-empire/twtc-ontario/,california,inland-empire,twtc-ontario
https://www.datacentermap.com/usa/california/irvine/twtc-orange-county/,california,irvine,twtc-orange-county
https://www.datacentermap.com/usa/california/inland-empire/twtc-riverside/,california,inland-empire,twtc-riverside
https://www.datacentermap.com/usa/california/san-francisco/twtc-san-francisco/,california,san-francisco,twtc-san-francisco
