,substation_name,latitude,longitude,pnode_match
475,White Stone,37.64880297,-76.39830012,WHITESTN
442,Wilderness DP,38.3544318,-77.75674092,WILDERNS
502,Windsor DP,36.822685,-76.78182066,WINDSOR
438,Winterpock,37.39321816,-77.67210685,WINTERPK
483,Westmoreland,38.00835039,-76.74359278,WMORELN4
22,Wolf Hills Energy,36.66359204,-82.10389867,WOLF HILLS 1-5
212,Woodbridge,38.65474502,-77.2825091,WOODBRGE
435,Woodpecker,38.09048893,-77.44548371,WOODPKDP
63,Woods DP,38.76741934,-77.47866716,WOODSDP
386,West Salem,37.29987475,-80.12589238,WSALEM
472,West Point,37.53926227,-76.80383347,WSTPOINT
291,Wurno,37.07469255,-80.71740545,WURNO
544,Wythe,36.9484324,-81.06049947,WYTHE
240,Yadkin,36.76297904,-76.35471476,YADKIN
573,Yardley Ridge,38.95018189,-77.5186353,YARDRIDG
471,Yorktown,37.21316329,-76.46103491,YORKTOW4
