,substation_name,latitude,longitude,pnode_match
159,Cunningham,37.86864966,-78.37414532,CUNNINGHAM
369,Cushaw,37.59288534,-79.38044883,CUSHAW
574,Danieltown,36.90325194,-77.99377321,DANLTNDP
23,Danville New Design Plant,36.63167603,-79.39757009,DANVILPL
390,Darbytown CTS,37.49903853,-77.36935751,DARBYTWN
33,Davis,36.85186452,-76.17562484,DAVIS2
571,Davis Drive,38.98971499,-77.41193244,DAVISDRV
223,Dayton,38.40984017,-78.92815215,DAYTON
580,Dearington,37.40926649,-79.1644203,DEARINGT
244,Deep Creek,36.76429758,-76.34346028,DEEP CREEK 1-2
542,Dickens,36.84326457,-82.22726173,DICKENS
512,Disputanta,37.1102893,-77.22521267,DISPUTNT
300,Dooms,38.10703457,-78.84909718,DOOMS
321,Double Toll Gate,39.06134905,-78.13704877,DOUBLETO
207,Dranesville,38.97939788,-77.36155865,DRANESVL
296,Dryburg,36.82004704,-78.73600977,DRYBURG
201,Dulles,38.94537623,-77.43175955,DULLES
192,Dumfries,38.58730618,-77.3059351,DUMFRIES
473,Dunnsville,37.85277896,-76.81263913,DUNNSVIL
400,Dupont,37.45327138,-77.43845776,DUPONT
228,Dupont Waynesboro,38.0611923,-78.88086204,DUPWAYNE
188,East Danville,36.60368389,-79.3479462,EDANVILL
521,Edgemont,37.10222454,-80.46710169,EDGEMONT
164,Edinburg,38.83404615,-78.5360772,EDINBUR4
30,Elizabeth River Power Station,36.77374549,-76.31172605,ELIZRIV
554,Elk Garden,36.91476406,-81.996991,ELKGARD2
122,Pleasant Valley,38.85859386,-77.50687322,ELKLCKDP
338,Elko,37.47725917,-77.23744483,ELKO4
51,Elk Run,38.55627275,-77.70973563,ELKRUNDP
293,Elkton D.P.,38.3530038,-78.6663132,ELKTONDP
118,Elmont,37.6977958,-77.48471147,ELMONT
26,Emporia,36.69586061,-77.5596501,EMPORIA
413,National Welders Ind,37.33964444,-77.32325939,ENON4
131,Enterprise,39.00222414,-77.48039052,ENTRPRIS
187,Fairfield,37.8705064,-79.30672405,FAIRFELD
524,Falling Branch,37.13830302,-80.33119304,FALLINGB
487,Farmville,37.31142158,-78.3930341,FARMVILL
242,Fentress,36.69045416,-76.19002867,FENTRESS
331,Ferncliff,37.93150951,-78.10540539,FERNCLIF
279,Fieldale,36.70912544,-79.93445629,FIELDALE
